swc cwsi
26.83 0.12
23.28 0.69
25.33 0.25
23.52 0.83
23.58 0.93
27.87 0.05
23.97 0.49
23.65 0.62
24.01 0.49
27.67 0.06
24.19 0.99
23.78 0.6
26.98 0.11
26.41 0.18
28.46 0.01
26.76 0.15
25.92 0.27
23.86 0.6
24 0.96
23.46 0.93
23.95 0.65
24.53 0.96
23.51 0.77
23.99 0.92
23.62 0.69
28.08 0.01
23.4 0.79
23.56 0.89
26.75 0.09
23.9 0.93
24.6 0.38
23.77 0.54
24.3 0.49
25.84 0.25
26.86 0.11
24.02 0.46
23.87 0.6
24.44 0.41
25.51 0.3
27.41 0.04
23.8 0.88
23.52 0.69
23.94 0.61
24.11 0.93
25.81 0.23
24.22 0.56
24.12 0.8
23.48 0.68
23.27 0.68
24.89 0.34
23.8 0.79
23.53 0.62
24.3 0.38
23.61 0.7
25.3 0.32
24.03 0.92
23.72 0.76
23.17 0.76
23.45 0.86
26.58 0.14
24.1 0.4
26.5 0.24
23.14 0.72
24.45 0.38
23.61 0.74
24.08 1
25.02 0.34
23.75 0.68
23.88 0.84
23.84 0.87
25.28 0.29
26.38 0.16
23.96 0.56
23.55 0.95
23.94 0.94
24.07 0.47
23.85 0.94
28.49 0.02
