Instrument,Experience,RT
Violin,14,192
Violin,11,177
Violin,13,189
Violin,18,181
Violin,16,201
Violin,15,205
Violin,12,134
Violin,11,145
Violin,15,149
Violin,16,167
Violin,7,209
Violin,8,178
Violin,9,184
Violin,11,227
Violin,15,229
Violin,15,225
Violin,10,206
Violin,15,356
Violin,5,232
Violin,16,192
Violin,16,166
Violin,12,250
Violin,11,191
Violin,13,244
Violin,17,208
Violin,5,230
Violin,15,224
Violin,15,230
Violin,15,213
Violin,8,194
Viola,17,260
Viola,5,160
Viola,16,169
Viola,3,150
Viola,5,221
Viola,12,184
Viola,9,190
Viola,7,179
Viola,5,175
Viola,9,168
Viola,4,135
Viola,6,189
Viola,10,185
Viola,6,207
Viola,8,158
Viola,20,198
Viola,16,217
Viola,3,186
Viola,9,183
Viola,10,173
Viola,18,191
Viola,12,212
Viola,11,192
Viola,6,182
Viola,5,187
Viola,7,188
Viola,7,211
Viola,16,209
Viola,1,214
Viola,11,175
Cello,18,208
Cello,2,271
Cello,1,159
Cello,12,450
Cello,3,170
Cello,9,600
Cello,8,183
Cello,3,160
Cello,4,148
Cello,3,148
Cello,4,201
Cello,14,201
Cello,16,186
Cello,11,220
Cello,7,214
Cello,14,216
Cello,4,189
Cello,13,214
Cello,12,225
Cello,14,223
Cello,16,189
Cello,6,218
Cello,17,184
Cello,11,187
Cello,18,281
Cello,17,234
Cello,13,251
Cello,18,236
Cello,10,219
Cello,16,217
