year,month_num,avg_viewers,chat_messages,chatters,search_interest,submissions,wr_count,wr_120star_count,wr_70_star_count,wr_16star_count,wr_1star_count,wr_0star_wr
2017,3,578,0.24,8.22,0.93,44,0,0,0,0,0,0
2017,4,567,1.84,32.41,1.59,43,1,1,0,0,0,0
2017,5,556,1.74,33.57,1.58,54,1,1,0,0,0,0
2017,6,1370,2.81,65.53,1.48,39,2,2,0,0,0,0
2017,7,1631,2.77,59.21,2.05,57,0,0,0,0,0,0
2017,8,2035,3.52,75.35,1.03,62,0,0,0,0,0,0
2017,9,1520,2.53,68.12,1.31,67,0,0,0,0,0,0
2017,10,976,2.64,56.57,1.15,55,0,0,0,0,0,0
2017,11,652,2.05,57.29,1.81,39,0,0,0,0,0,0
2017,12,346,1.5,28.87,1.79,48,0,0,0,0,0,0
2018,1,386,1.64,31.05,1.26,69,1,0,1,0,0,0
2018,2,444,1.26,32.03,1.72,46,1,1,0,0,0,0
2018,3,518,1.51,40.32,1.08,70,0,0,0,0,0,0
2018,4,740,2.08,49.58,1.02,66,1,0,0,1,0,0
2018,5,538,1.71,49.69,0.88,57,0,0,0,0,0,0
2018,6,694,1.43,37.97,0.89,46,0,0,0,0,0,0
2018,7,688,1.8,53.29,0.93,58,1,0,0,0,0,1
2018,8,605,1.67,46.24,0.89,60,0,0,0,0,0,0
2018,9,536,1.48,37.26,0.82,42,0,0,0,0,0,0
2018,10,797,1.64,52.34,0.77,46,3,0,0,3,0,0
2018,11,751,1.64,38.52,0.74,38,1,0,0,0,1,0
2018,12,637,1.46,37.73,0.8,34,0,0,0,0,0,0
2019,1,546,1.67,47.08,0.79,44,0,0,0,0,0,0
2019,2,734,1.71,42.33,0.77,44,1,0,1,0,0,0
2019,3,647,1.75,51.7,0.73,44,0,0,0,0,0,0
2019,4,1462,2.92,80.34,1.78,36,1,0,0,0,0,1
2019,5,1437,3.13,93.98,0.8,58,3,0,1,1,1,0
2019,6,1420,3.12,92.61,1.39,71,1,1,0,0,0,0
2019,7,674,1.42,36.94,0.84,43,0,0,0,0,0,0
2019,8,886, NA ,40.32,0.85,66,1,1,0,0,0,0
2019,9,721,0.18,9,1.21,43,5,0,3,0,1,1
2019,10,597,1.66,50.29,0.69,53,2,0,0,0,1,1
2019,11,574,1.51,49.14,0.71,39,1,0,0,1,0,0
2019,12,1120,2.33,73.12,0.77,41,1,1,0,0,0,0
2020,1,1543,2.24,66.62,0.75,41,0,0,0,0,0,0
2020,2,1485,2.07,66.38,0.8,56,3,1,0,1,0,1
2020,3,1100,2.87,79.36,1.2,65,2,1,0,1,0,0
2020,4,1739,3.93,117.64,1.55,93,0,0,0,0,0,0
2020,5,6541,10.47,264.03,2.41,134,5,1,2,2,0,0
2020,6,2471,6.03,160.55,1.91,168,2,0,1,1,0,0
2020,7,1958,5.75,151.01,2.06,161,0,0,0,0,0,0
2020,8,1176,4.02,103.35,1.81,132,0,0,0,0,0,0
2020,9,2172,5.96,200.96,3.52,120,2,0,0,0,1,1
2020,10,1296,5.14,151.31,2.23,117,0,0,0,0,0,0
2020,11,1348,4.24,117.95,1.83,92,0,0,0,0,0,0
2020,12,1890,4.81,139.01,1.84,102,0,0,0,0,0,0
2021,1,3230,6.11,181.91,1.98,143,2,1,0,0,0,1
2021,2,4221,7.46,223.25,2.01,172,0,0,0,0,0,0
2021,3,5368,8.91,249.51,1.49,180,0,0,0,0,0,0
2021,4,2454,5.51,169.22,1.41,120,1,1,0,0,0,0
2021,5,1224,3.85,105.17,0.9,105,0,0,0,0,0,0
2021,6,1279,3.69,95.95,1.31,101,0,0,0,0,0,0
2021,7,2060,3.81,120.02,1.04,95,1,0,0,0,1,0
2021,8,2635,3.36,132.39,1.37,118,2,0,0,1,0,1
2021,9,2501,4.42,133.66,1.42,142,0,0,0,0,0,0
2021,10,2809,4.07,123.19,0.94,158,1,1,0,0,0,0
2021,11,4406,4.96,162.68,1.34,173,5,1,1,3,0,0
2021,12,5006,6.08,202.64,2.03,254,2,0,0,1,1,0
2022,1,3821,5.26,151.44,1.98,236,0,0,0,0,0,0
2022,2,3767,4.66,135.1,1.48,188,2,1,0,0,0,1
2022,3,2593,2.61,81.08,1.51,162,0,0,0,0,0,0
2022,4,1499,1.96,62.73,1.4,125,0,0,0,0,0,0
2022,5,1464,1.91,67.78,1.4,114,0,0,0,0,0,0
2022,6,1775,2.34,75.41,0.91,304,0,0,0,0,0,0
2022,7,2262,2.38,82.25,1.49,226,0,0,0,0,0,0
2022,8,1588,2.32,66.04,0.91,149,1,0,0,1,0,0
2022,9,1695,2.45,70.84,0.94,92,0,0,0,0,0,0
2022,10,1515,2.47,59.48,1.05,65,0,0,0,0,0,0
2022,11,1856,2.49,63.84,1,98,1,1,0,0,0,0
2022,12,1541,2.41,63.2,1.47,107,1,0,0,1,0,0
2023,1,2177,3.08,100.69,1.67,121,1,0,1,0,0,0
2023,2,2476,2.97,89.78,1.28,114,1,0,0,0,1,0
2023,3,2757,3.53,114.51,1.87,155,3,0,0,1,2,0
2023,4,3152,3.76,114.77,2.46,151,5,0,0,0,1,4
2023,5,2418,3.17,81.85,1.65,111,0,0,0,0,0,0
2023,6,2062,3.05,76.84,1.52,283,2,0,2,0,0,0
2023,7,1885,2.38,61.92,1.62,241,0,0,0,0,0,0
2023,8,2422,3.12,82.92,1.1,117,0,0,0,0,0,0
2023,9,2702,3.35,73.87,1.17,81,0,0,0,0,0,0
2023,10,2596,3.45,80.41,1.56,86,5,4,0,0,0,1
2023,11,2135,2.58,58.14,1.38,81,0,0,0,0,0,0
2023,12,1772,3.36,74.28,1.47,483,1,0,1,0,0,0
2024,1,2071,3.82,82.94,1.28,1139,1,1,0,0,0,0
2024,2,2291,4.23,88.71,1.31,223,0,0,0,0,0,0
2024,3,1959,3.92,93.89,1.79,138,0,0,0,0,0,0
2024,4,2674,4.07,102.86,1.38,102,0,0,0,0,0,0
2024,5,2074,3.69,93.98,1.65,149,0,0,0,0,0,0
2024,6,1643,2.95,75.33,1.42,122,0,0,0,0,0,0
2024,7,2043,2.99,86.18,1.81,352,1,1,0,0,0,0
2024,8,2442,3.94,98.11,1.38,267,0,0,0,0,0,0
2024,9,3019,4.41,95.66,1.54,109,0,0,0,0,0,0
2024,10,1352,2.45,61.25,1.78,83,1,1,0,0,0,0
2024,11,1954,2.68,68.75,1.57,130,2,1,1,0,0,0
2024,12,2148,3.26,77.15,1.77,125,0,0,0,0,0,0
2025,1,2551,3.76,89.39,1.72,118,0,0,0,0,0,0
2025,2,2169,3.16,83.22,2,140,0,0,0,0,0,0
2025,3,2032,3.4,88.06,1.44,117,2,0,0,0,1,1
2025,4,1151,2.09,51.72,1.69,123,0,0,0,0,0,0
2025,5,1429,2.62,56.79,1.3,129,0,0,0,0,0,0
2025,6,904,1.66,40.31,1.24,112,0,0,0,0,0,0
2025,7,1029,1.57,43.15,1.27,117,0,0,0,0,0,0
2025,8,1147,1.91,58.26,1.72,355,0,0,0,0,0,0
2025,9,1065,1.91,54.55,1.33,226,0,0,0,0,0,0
2025,10,897,1.74,40.11,1.33,135,0,0,0,0,0,0
