enrolled,invited,age,female,self.plus1,self.plus2,hispanic,race.white,race.black,race.nwother,english,signed.self.up,phone,pobox,first.day,income
0,0,40,0,1,0,0,1,0,0,1,1,1,0,0,0
1,1,31,1,1,0,1,0,0,0,0,1,1,0,0,3.377465487
0,0,21,0,0,0,0,0,1,1,1,1,1,0,0,0
0,0,41,1,0,0,0,1,0,0,1,1,1,0,0,111.5305405
1,1,44,1,0,0,0,1,0,0,1,1,1,0,0,5.668934345
0,0,37,1,0,0,0,1,0,0,1,1,1,0,0,111.5305405
0,1,61,1,0,0,0,1,0,0,1,1,0,0,0,103.8781128
0,0,34,0,0,0,0,1,0,0,1,1,1,0,0,103.8781128
1,0,52,1,0,0,1,0,0,0,1,1,1,0,0,0
0,0,32,1,0,0,0,1,0,0,1,1,1,0,0,180.1647186
0,0,58,1,0,0,0,0,0,1,1,1,1,0,0,11.54201317
0,1,51,0,1,0,1,0,0,0,0,0,1,0,0,77.2134552
0,0,47,0,0,0,0,1,0,0,1,1,1,0,0,105.824585
0,0,45,1,0,0,0,1,0,0,1,1,1,0,0,80.79409027
1,1,24,1,0,0,1,1,0,0,1,1,1,0,0,24.23419952
0,0,40,0,1,0,0,1,0,0,1,0,1,0,0,62.35827637
0,0,50,1,0,0,0,1,0,0,1,1,1,0,0,80.79409027
0,0,26,1,0,0,0,1,0,0,1,1,1,0,0,11.27141571
1,1,60,1,1,0,0,1,0,0,1,1,1,1,0,61.4418335
0,0,48,1,0,0,0,1,0,0,1,1,1,0,0,77.68170929
0,0,51,1,0,0,0,1,0,0,1,1,1,0,0,5.668934345
1,1,36,1,1,0,1,0,0,0,1,1,1,0,0,33.74233246
0,0,36,0,1,0,1,0,0,0,0,0,1,0,0,71.96071625
0,1,23,1,1,0,0,1,0,0,1,0,1,0,0,111.5305405
1,0,29,1,0,0,0,1,0,0,1,1,1,0,0,92.08995819
1,1,36,0,1,0,0,0,1,0,1,1,1,1,0,6.826870441
