Score Lunch Computer Expenditure Income English STratio
1372.62 2.04 67 6384.91 22.69 0 17.89
1316.21 47.92 101 5099.38 9.82 4.58 21.52
1291.41 76.32 169 5501.95 8.98 30 18.7
1288.42 77.05 85 7101.83 8.98 0 17.36
1242.14 78.43 171 5235.99 9.08 13.86 18.67
1277.68 86.96 25 5580.15 10.41 12.41 21.41
1198.15 94.62 28 5253.33 6.58 68.72 19.5
1259.62 100 66 4565.75 8.17 46.96 20.89
1244.17 93.14 35 5355.55 7.39 30.08 19.95
1280.29 87.32 0 5036.21 11.61 40.28 20.81
1251.89 85.87 86 4547.69 8.93 52.91 21.24
1264.13 98.61 56 5447.35 7.39 54.61 21
1204.85 98.13 25 6567.15 5.34 42.72 20.6
1278.34 77.15 0 4818.61 8.28 20.53 20.01
1259.52 76.27 31 5621.46 9.63 80.12 18.03
1260.38 94.3 80 6026.36 7.45 49.41 20.25
1187.24 97.76 100 6723.24 6.22 85.54 16.98
1244.19 77.91 50 5589.89 7.76 58.91 16.51
1201.76 94.97 960 5064.62 7.02 77.01 22.7
1222.42 93.23 139 5433.59 5.7 49.81 19.91
1222.4 100 69 5725.56 7.94 40.68 18.33
1287.56 91.55 53 4542.1 9.63 16.21 22.62
1260.76 70.82 169 5107.09 7.41 45.07 19.45
1314.34 100 0 4659.66 9.63 39.08 25.05
1205.36 90.62 216 4555.46 8.02 76.67 20.68
1294.42 85.15 198 5415.15 8.52 40.49 18.68
1229.99 88.03 742 4997.87 7.98 73.72 22.85
1256.26 92.2 269 5223.91 7.3 70.01 19.27
1255.96 90.2 67 5139.16 8.93 55.96 19.25
1264.93 81.02 55 4614.25 8.55 11.06 20.55
1190.66 81.51 569 5342.23 6.61 80.42 20.61
1298.8 90.28 224 5347.46 12.41 63.13 21.07
1269 91.59 721 5036.46 8.13 65.12 21.54
1292 55.09 202 5117.14 11.43 53.42 19.9
1282.29 80.2 1713 5117.04 11.72 49.82 21.19
1280.04 84.43 177 5272.19 11.33 35.47 21.87
1280.88 84.73 204 5225.72 9.6 56.13 18.33
1258.45 94.93 18 6516.53 14.56 32.39 16.23
1297.8 81.12 562 4559.18 22.06 65.51 19.18
1265.48 87.78 275 5119.16 9.71 53.06 20.28
1290.37 71.43 1762 5338.19 11.48 49.64 22.99
1267.31 85.87 40 5090.04 8.18 45.11 20.44
1235.17 88.1 78 5485.5 8.17 30.32 19.82
1273.34 100 571 4793.37 7.5 52.24 23.21
1286.02 92.74 324 5092.92 10.05 36.8 19.27
1257.81 62.13 175 4359.52 7.33 30.28 23.3
1286.24 69.74 1423 5645.5 12.58 49.86 21.19
1298.04 67.44 85 4518.02 15.18 13.76 20.87
1312.78 84.29 3324 5864.37 12.11 28.86 19.02
1310.64 70.9 1306 5258 11.78 52.8 21.92
1309.67 79.51 786 5016.69 14.06 44.09 20.1
1258.9 79.73 242 4720.09 10.47 35.25 21.48
1278.68 69.94 669 5470.56 13.41 37.49 20.07
1311.39 77.53 896 5615.44 12.3 50.39 20.38
1305.98 61.74 560 5245.44 15.4 31.07 22.45
1322.78 52.94 202 4838.18 13.76 18.26 22.9
1277.82 81.12 480 5367.99 14.18 34.7 20.5
1265.77 84.55 196 5526.24 8.86 33.29 20
1330.59 52.4 152 4353.02 13 33.49 22.26
1277.61 66.19 249 5034.29 11.59 38.16 21.56
1274.31 83.16 45 4692.49 8.28 36.93 19.48
1286.56 85 560 5606.78 10.91 32.99 17.67
1286.93 82.39 1048 4969.18 13.4 58.22 21.95
1305.16 56.06 496 4675.67 11.08 17 21.78
1282.81 82.13 149 5306.13 9.08 17.66 19.14
1310.73 80.6 287 5693.88 13.39 7.32 18.11
1317.89 93.92 284 5181.58 14.6 31.2 20.68
1302.43 63.8 585 5228.65 11.12 16.62 22.62
1250.29 100 505 5339.39 8.42 58.08 21.79
1272.25 84.92 129 6056.5 11.66 55.89 18.58
1259.48 76.79 13 4845.68 7.3 5.49 21.55
1329.8 68.4 273 4826.67 13.73 14.43 21.15
1282.36 83.12 94 5367.09 11.12 22.85 16.63
1245.25 77.01 1248 5742.73 10.36 38.78 21.14
1231.6 86.03 107 4136.25 6.98 64.25 19.78
