CASENUM HOUR LGT_COND WEATHER ALCOHOL TYP_INT REST_USE AIR_BAG SEVERITY VTRAFWAY VNUM_LAN VSPD_LIM VALIGN VSURCOND
201310437257 19 2 2 2 1 3 20 1 1 2 40 1 2
201310438956 5 2 1 2 1 3 9 1 1 2 55 3 1
201311101431 17 3 1 2 2 3 1 1 1 6 50 1 1
201311101610 18 2 1 2 2 3 20 0 1 3 50 2 1
201311101631 20 3 1 2 2 3 20 0 1 5 50 1 1
201311101668 1 2 1 1 1 2 1 1 1 2 35 1 1
201311101671 15 1 1 2 3 3 20 0 1 2 40 1 1
201311101863 12 1 1 2 2 8 1 0 1 2 40 1 1
201311101916 18 3 1 2 2 3 2 0 1 2 40 1 1
201311102127 15 1 1 2 2 8 1 0 2 2 35 1 1
201311102232 19 1 1 2 2 8 1 1 1 4 50 1 1
201311102301 6 3 1 2 3 8 1 0 1 3 40 3 2
201311102423 11 1 2 2 2 3 20 0 1 2 40 1 2
201311102714 12 1 2 2 2 3 20 0 1 2 50 1 2
201311102801 6 3 1 2 2 7 20 0 1 3 45 1 1
201311102807 20 2 1 2 1 3 1 1 1 2 50 3 1
201311103012 11 1 1 2 1 3 20 0 1 3 35 1 1
201311103045 16 1 1 2 2 8 1 0 1 2 35 1 1
201311103068 9 1 1 2 1 8 1 1 1 2 45 3 1
201311103080 14 1 1 2 2 7 1 1 1 6 50 1 1
201311103185 20 3 10 2 1 3 1 1 1 2 30 1 1
201311103357 22 3 1 2 1 3 8 1 1 2 45 1 1
201311103401 16 1 1 2 2 3 20 1 1 2 25 1 1
201311103405 18 3 1 2 2 3 20 1 1 5 40 1 1
201311103491 20 1 1 1 1 3 1 1 1 2 30 1 1
201311103573 9 1 1 2 1 3 20 0 1 2 35 1 1
201311103773 19 3 1 1 1 3 1 1 1 2 50 1 1
201311104098 22 2 1 2 1 3 20 0 1 2 45 1 1
201311104268 10 1 1 2 1 3 1 0 1 2 40 2 1
201311104298 19 5 1 1 1 3 20 0 1 2 40 1 1
201311104339 19 5 2 2 1 8 8 0 3 3 50 1 2
201311104402 15 1 1 1 1 3 1 0 1 4 35 2 1
201311104582 11 1 10 2 3 3 20 1 1 2 10 1 1
201311104684 3 3 2 2 1 7 2 1 1 2 45 3 2
201311104721 12 1 1 2 3 3 20 0 1 2 25 1 1
201311104753 6 1 1 2 1 8 1 1 1 2 40 1 1
201311104779 19 3 1 1 3 3 20 1 2 1 40 1 1
201311104905 12 1 1 2 2 3 20 1 2 2 50 1 1
201311104918 12 1 1 2 1 3 20 1 1 3 35 1 1
201311104936 17 5 1 2 2 3 20 1 3 5 35 1 1
201311105108 14 1 1 2 4 3 8 1 1 3 40 1 1
201311105126 16 1 1 2 1 3 20 0 1 2 40 1 1
201311105167 14 1 1 2 1 8 20 1 2 1 25 1 1
201311105272 16 1 1 2 1 3 20 0 1 2 40 1 1
201311105555 10 1 1 2 1 3 20 0 1 2 40 1 1
