"","times","school"
"1",2.11,1
"2",9.75,1
"3",13.88,1
"4",11.3,1
"5",8.93,1
"6",15.66,1
"7",16.38,1
"8",4.54,1
"9",8.86,1
"10",11.94,1
"11",12.47,1
"12",11.11,1
"13",11.65,1
"14",14.53,1
"15",9.61,1
"16",7.38,1
"17",3.34,1
"18",9.06,1
"19",9.45,1
"20",5.98,1
"21",7.44,1
"22",8.5,1
"23",1.55,1
"24",11.45,1
"25",9.73,1
"26",0.29,2
"27",1.13,2
"28",6.52,2
"29",11.72,2
"30",6.54,2
"31",5.63,2
"32",14.59,2
"33",11.74,2
"34",9.12,2
"35",9.43,2
"36",10.64,2
"37",12.28,2
"38",9.5,2
"39",0.63,2
"40",15.35,2
"41",5.31,2
"42",8.49,2
"43",3.04,2
"44",3.77,2
"45",6.22,2
"46",2.14,2
"47",6.58,2
"48",1.11,2
"49",4.33,3
"50",7.77,3
"51",4.15,3
"52",5.64,3
"53",7.69,3
"54",5.04,3
"55",10.01,3
"56",13.43,3
"57",13.63,3
"58",9.9,3
"59",5.72,3
"60",5.16,3
"61",4.33,3
"62",12.9,3
"63",11.27,3
"64",6.05,3
"65",0.95,3
"66",6.02,3
"67",12.22,3
"68",12.85,3
"69",12.46,4
"70",6.42,4
"71",5.96,4
"72",0.92,4
"73",11.43,4
"74",2.27,4
"75",1.54,4
"76",6.55,4
"77",2.3,4
"78",0.57,4
"79",7.4,4
"80",6.63,4
"81",7.02,4
"82",2.95,4
"83",4.44,4
"84",7.78,4
"85",8.36,4
"86",13.32,4
"87",8.81,4
"88",2.06,4
"89",14.17,4
"90",0.88,4
"91",10.36,4
"92",4.97,4
"93",12.97,5
"94",13.6,5
"95",13.54,5
"96",5.49,5
"97",11.52,5
"98",8.23,5
"99",8.98,5
"100",6.42,5
"101",12.01,5
"102",15.08,5
"103",7.16,5
"104",10.84,5
"105",8.15,5
"106",4.27,5
"107",14.21,5
"108",15.93,5
"109",8.99,5
"110",10.12,5
"111",5.65,5
"112",14.94,5
"113",14.2,5
"114",8.43,5
"115",10.18,5
"116",17.47,5
"117",2.5,6
"118",7.56,6
"119",5.79,6
"120",4.92,6
"121",3.32,6
"122",9.65,6
"123",2.58,6
"124",3.31,6
"125",5.47,6
"126",6.98,6
"127",9.74,6
"128",0.97,6
"129",6.2,6
"130",11.16,6
"131",13.45,6
"132",7.84,6
"133",10.43,6
"134",5.85,6
"135",5.56,6
"136",6.82,6
"137",5.23,6
"138",1.18,6
"139",7.5,7
"140",11.15,7
"141",5.82,7
"142",0.39,7
"143",4.11,7
"144",4.82,7
"145",13.56,7
"146",3.11,7
"147",6.69,7
"148",7.33,7
"149",11.87,7
"150",9.14,7
"151",0.03,7
"152",1.76,7
"153",5.03,7
"154",3.72,7
"155",7.28,7
"156",7.15,7
"157",9.07,7
"158",8.59,7
"159",6.53,7
"160",0.27,7
"161",6.41,8
"162",3.52,8
"163",7.65,8
"164",9.56,8
"165",9.49,8
"166",4.54,8
"167",14.72,8
"168",5.63,8
"169",4.24,8
"170",8.96,8
"171",8.59,8
"172",8.69,8
"173",6.18,8
"174",4.79,8
"175",11.67,8
"176",2.8,8
"177",7.03,8
"178",4.32,8
"179",11.51,8
"180",7.32,8
