"popularity","genre","intercept","time_signature3","time_signature5","time_signature1","explicitTrue","duration_ms","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo"
87,"alternative",1,0,0,0,0,260173,0.588,0.521,-9.461,0.0329,0.0678,0.149,0.123,0.337,85.012
79,"alternative",1,0,0,0,1,204763,0.87,0.523,-8.052,0.0602,0.433,2.07e-05,0.113,0.319,110.02
86,"alternative",1,0,0,0,0,206280,0.575,0.568,-5.509,0.03,0.0484,0.000417,0.286,0.37,93.986
93,"alternative",1,0,0,0,0,240400,0.612,0.807,-2.81,0.0336,0.0495,0.0177,0.101,0.398,124.053
86,"alternative",1,0,0,0,1,168601,0.695,0.54,-5.692,0.0493,0.299,0,0.367,0.415,121.932
81,"alternative",1,0,0,0,1,162680,0.773,0.47,-7.93,0.0299,0.0153,0.000193,0.0851,0.399,94.995
85,"alternative",1,0,0,0,0,216880,0.556,0.864,-5.87,0.0584,0.00958,0,0.209,0.4,105.143
83,"alternative",1,0,0,0,0,185586,0.496,0.863,-4.153,0.0381,0.0046,0,0.639,0.243,110.018
76,"alternative",1,0,0,0,1,122772,0.855,0.463,-7.454,0.0367,0.217,1.77e-05,0.347,0.866,102.931
79,"alternative",1,0,0,0,0,161803,0.7,0.49,-5.187,0.076,0.186,0,0.117,0.569,79.982
70,"alternative",1,0,0,0,0,174002,0.729,0.551,-6.935,0.056,0.598,0,0.176,0.312,124.044
73,"alternative",1,0,0,0,0,192106,0.485,0.843,-3.993,0.0467,0.00129,1.01e-05,0.14,0.602,78.001
75,"alternative",1,0,0,0,0,216720,0.51,0.882,-5.659,0.159,0.00158,0.00206,0.0764,0.653,154.029
3,"alternative",1,0,0,0,0,285315,0.568,0.934,-4.428,0.107,0.000885,0.0297,0.36,0.319,137.005
2,"alternative",1,0,0,0,0,260808,0.573,0.913,-6.52,0.0409,0.00861,0.0273,0.114,0.795,88.418
3,"alternative",1,0,0,0,1,340920,0.663,0.694,-8.627,0.171,0.0253,0,0.0698,0.525,167.953
3,"alternative",1,0,0,0,0,232412,0.417,0.682,-5.071,0.0295,0.0267,0.000669,0.109,0.351,105.542
2,"alternative",1,0,0,0,0,329733,0.592,0.765,-2.788,0.027,0.0021,0.00154,0.127,0.327,96.483
2,"alternative",1,0,0,0,0,223973,0.344,0.931,-3.759,0.0783,0.00104,0,0.0903,0.251,148.104
1,"alternative",1,0,0,0,0,232412,0.417,0.682,-5.071,0.0295,0.0267,0.000669,0.109,0.351,105.542
0,"alternative",1,0,0,0,0,186148,0.386,0.936,-4.005,0.0701,0.0121,1.6e-05,0.266,0.418,176.366
0,"alternative",1,0,1,0,0,204466,0.499,0.223,-15.253,0.0338,0.912,0,0.0962,0.304,129.291
1,"alternative",1,0,0,0,0,202053,0.476,0.979,-3.504,0.133,0.00142,0.00686,0.0944,0.394,140.408
1,"alternative",1,0,0,0,0,445000,0.64,0.821,-5.789,0.0732,0.00122,0.145,0.203,0.624,135.478
0,"alternative",1,0,0,0,0,262586,0.532,0.872,-3.869,0.0636,0.00223,0,0.283,0.299,127.959
